subject_idx,load_case,affine_rotation,rigid_rotation,affine_translation,rigid_translation
0,SP2leg,0.7464839286479199,0.7627998208300458,0.8569847515169464,0.8594418587970369
0,SP1leg,1.4503489776350462,1.4523345358758364,1.1410205715508634,1.1418900875961029
0,LAB_phase1,0.15130871602511103,0.15198510003486448,0.15134893899931254,0.15151177253216408
0,LAB_phase2,0.6440990601014942,0.6422533997143016,0.24002254920638913,0.24014057449953036
0,LAB_phase3,0.6663574551960509,0.6527168764190362,0.4843178135200397,0.48541405601320664
55,SP2leg,1.2517747319652832,1.2552936216946502,1.4150965715564787,1.419225366019711
55,SP1leg,3.8524669914995604,3.8522333824629262,2.9713953491738034,2.976924076124684
55,LAB_phase1,0.21084542094483916,0.20959477456167297,0.10947577991563132,0.10976144421466907
55,LAB_phase2,0.966895070924519,0.9638814894900912,0.5077427600030335,0.5071128668366013
55,LAB_phase3,1.0969077778316936,1.0740139589087663,0.8785767251916574,0.8781888217450777
110,SP2leg,1.0577425946513523,1.0778760998503842,1.0704992161798677,1.0718684109224283
110,SP1leg,2.5453995281152073,2.544396286624222,1.7739835145278362,1.7786215590615497
110,LAB_phase1,0.32153466937220176,0.3217649878739316,0.2107572625734309,0.21126130168145793
110,LAB_phase2,0.900994418543833,0.9000795722809001,0.3391661991085516,0.33915497553306295
110,LAB_phase3,0.9937625783962754,0.9850010818714262,0.6509788410932162,0.652605438820836
165,SP2leg,0.8245786398708642,0.8470501652677074,1.0340485766353043,1.038934382185734
165,SP1leg,1.8237662805842108,1.8198217970127788,1.524663104360504,1.5270464527995924
165,LAB_phase1,0.23989109598409547,0.24063853554722162,0.20230598282039083,0.20303886735899032
165,LAB_phase2,0.670519721750963,0.67147107319828,0.23653601275788394,0.23686391339915186
165,LAB_phase3,0.6628125044273632,0.655724732063032,0.48136631509869915,0.48212209204282863
220,SP2leg,0.9339710703736092,0.9446247817636347,0.9279644977204615,0.9316653694463823
220,SP1leg,2.278483495841438,2.2824294252365753,1.5892082306729178,1.5912090852242469
220,LAB_phase1,0.1964895043177834,0.19662861150539795,0.18137794897853654,0.18194091743310878
220,LAB_phase2,0.7642660592152963,0.7630597298135882,0.17985713972451906,0.17962865101404385
220,LAB_phase3,0.8899174484698873,0.8821873674774614,0.5423414045922138,0.5420836377539944
277,SP2leg,0.9597883765383142,0.9617831991905084,1.0883621180946186,1.0907355239888958
277,SP1leg,1.8402814086181531,1.844970022250827,1.4383915257688165,1.440969584280608
277,LAB_phase1,0.21917442133480036,0.22015328625586575,0.1471447480652315,0.14764153544525854
277,LAB_phase2,0.8311978044954276,0.8311204300502728,0.28208400726461613,0.2818812438010297
277,LAB_phase3,0.9040870623829458,0.8953893790430776,0.632180392366569,0.6329774072940003
