subject_idx,channel,load_case,rot_mag_deg,trans_mag_mm,lr_rot_asym_deg,lr_trans_asym_mm,nut_abs_deg,ap_rot_abs_deg,cc_rot_abs_deg,ml_trans_abs_mm,ml_trans_signed_mm,ap_trans_abs_mm,ap_trans_signed_mm,cc_trans_abs_mm,cc_trans_signed_mm
0,full,SP2leg,0.7464839286479218,0.8569847515167899,0.0028945853945885336,0.16038410801941272,0.6876302409811424,0.17938079131079837,0.19457832271893288,0.06532395016987477,0.06532395016987477,0.2809952110176476,0.2809952110176476,0.8033117519332839,-0.8033117519332839
0,full,SP1leg,1.450348977635067,1.141020571550595,1.0652430592994135,1.108591009755188,0.7814065009820553,0.9260926193230812,0.6751203163754843,0.14322177450481013,0.021667321069502733,0.2959319206817829,0.2959319206817829,0.9406300135546466,-0.7458490747446636
0,full,LAB_phase1,0.15130871602509754,0.15134893899924012,0.07262102326861955,0.10047043375977122,0.03495545188023573,0.05424959176236449,0.13247773934174795,0.07917732456298601,0.003418543987581145,0.09212122017674508,0.09212122017674508,0.07749425427664178,-0.07749425427664178
0,full,LAB_phase2,0.6440990601014833,0.2400225492061896,0.08971667192599642,0.047215261821971,0.1598714078845082,0.34605408155054307,0.4499696284571757,0.17181739386517889,-0.034547001381319775,0.10976690469059847,-0.011720759596691721,0.12328509699520077,0.008250303849536296
0,full,LAB_phase3,0.6663574551960638,0.484317813519882,0.31611113400857593,0.10038754185082799,0.5019908492019087,0.18440747251776396,0.38872532625986933,0.11025477191849634,0.055760632064151966,0.25121264196039617,0.25121264196039617,0.3920003813467817,-0.3920003813467817
0,shape_only,SP2leg,0.7319263140795657,0.8468215831016132,0.004139905994451132,0.15538141750725187,0.6798654805811681,0.16211358040430213,0.18249797140581667,0.06432711230568401,0.06432711230568401,0.2836363082561764,0.2836363082561764,0.7913452258151041,-0.7913452258151041
0,shape_only,SP1leg,1.4456460670894966,1.1376450927180914,1.030865257111016,1.0844459418493095,0.775349123909051,0.9257509462860987,0.6690610597118742,0.14553531535553643,0.021506059400058737,0.2985206450253147,0.2985206450253147,0.9333132038005373,-0.7375230943935979
0,shape_only,LAB_phase1,0.1396770845255586,0.14932450011745646,0.06999851172830777,0.10432660830863136,0.03552556754044242,0.04222716712287099,0.12316942640296732,0.07785125395341395,0.0027356477868445556,0.09696289160821214,0.09696289160821214,0.07003738302364076,-0.07003738302364076
0,shape_only,LAB_phase2,0.6443039631162518,0.23911059351741404,0.09572633249887419,0.05511160951779989,0.16517369720705288,0.3331482271040531,0.46247033295570933,0.1693489230590961,-0.036024496173439474,0.11698932138185802,-0.013737866121395097,0.11731204499306941,0.017861412567930786
0,shape_only,LAB_phase3,0.6701789765153053,0.48928515197387756,0.31131688129291524,0.09262680637929765,0.5036340724079753,0.18139345805286097,0.39498882965843396,0.11016273367004499,0.05659210920370382,0.25317331094259415,0.25317331094259415,0.3964467467690085,-0.3964467467690085
0,material_only,SP2leg,0.9134837641914356,1.0036748621045275,0.026391457380519068,0.051930965993119416,0.8481539974119066,0.20094153629778133,0.26441994141704217,0.04729819512358757,0.02748609786334832,0.26908819763719216,0.26908819763719216,0.9651076690042167,-0.9651076690042167
0,material_only,SP1leg,1.9191087494245254,1.5956591610771331,1.201326103751866,1.5364352976359998,0.9177977944931942,1.4160489073203653,0.7649391483604779,0.14609594474398035,-0.14609594474398035,0.4247365264379987,0.2514688927077274,1.3902829512797967,-0.9660615640713702
0,material_only,LAB_phase1,0.2037381623012146,0.13270093437237024,0.04330306001505593,0.04370909294572804,0.03881832241054818,0.07850760253220188,0.18243140890115223,0.06407588001803491,0.007696458724778536,0.05008555054969312,0.05008555054969312,0.10045943049599512,-0.10045943049599512
0,material_only,LAB_phase2,0.6392767108491035,0.21493434692298669,0.03578491715479959,0.0051248347859288446,0.2042552380134787,0.4067407157104127,0.44587759319247644,0.11879614863606194,-0.002711127805600254,0.17549976893405883,-0.17549976893405883,0.03327218508997449,0.011218072411707187
0,material_only,LAB_phase3,0.7619978082292769,0.5351766636360883,0.1674052082093881,0.09991503266780061,0.5762138915630756,0.24514933580661985,0.4326788979358772,0.0862028615383219,0.011637326192078128,0.3367751289841654,0.3367751289841654,0.40639788964909485,-0.40639788964909485
1,full,SP2leg,1.045301617328204,1.1277497160128447,0.22563596737110603,0.1387180392946763,0.992227040101626,0.26512576411369926,0.18585576863240877,0.15335475985897964,0.017099462755942096,0.5389848312840573,0.5389848312840573,0.9738204978091968,-0.9738204978091968
1,full,SP1leg,2.25980289645514,1.9294380761462842,1.0876377180538839,1.701464393164277,1.112482548428526,1.8269934982604896,0.6287863785110112,0.17412666851056857,-0.08535505285220019,0.5423862975793124,0.5423862975793124,1.7006025395795208,-1.0667545237680278
1,full,LAB_phase1,0.18575714196262025,0.11069220554652744,0.1871270780583431,0.035766413638249034,0.03525680773588284,0.09759661459833298,0.14226398288791253,0.06489366303855615,0.013412522771774491,0.050344747238825656,0.026554612861927444,0.05310736497329037,-0.05310736497329037
1,full,LAB_phase2,0.7931607213173559,0.4913593592827109,0.0018965952245976192,0.006681292342807066,0.3422905083537637,0.4459359663597136,0.5547241037157289,0.1392950257830856,0.01117976193423409,0.46824406972409466,-0.46824406972409466,0.043671196173198,0.043671196173198
1,full,LAB_phase3,1.1288123173689706,0.935813044316974,0.20717031819147524,0.09157591363200779,0.8803463800267672,0.35221364440306846,0.6062205153128801,0.17882542049998218,0.01847749464714056,0.7985309713837203,0.7985309713837203,0.4536129145040343,-0.4536129145040343
1,shape_only,SP2leg,1.0443252431836942,1.1300772064538083,0.2246955890450837,0.14052258518578564,0.9869696262859695,0.2759580728915967,0.19275119032144322,0.1517388736880994,0.0170839574922787,0.534643558250325,0.534643558250325,0.979308139698077,-0.979308139698077
1,shape_only,SP1leg,2.2547736110743575,1.926413009832876,1.1106610940828328,1.7131035972990103,1.108130410480241,1.8228781982573121,0.6310753706977652,0.17255665145509386,-0.08410762487575468,0.5356900611636126,0.5356900611636126,1.7002855404706563,-1.0704134273728632
1,shape_only,LAB_phase1,0.19398123201148285,0.11324756423743162,0.19146284649319695,0.04071607613046026,0.035197240713975585,0.10631463008637855,0.1478596884171773,0.06586133553097523,0.013461138223753534,0.05112394715283235,0.024484039048359982,0.058522884521382275,-0.058522884521382275
1,shape_only,LAB_phase2,0.7961332355707149,0.4907149251426196,0.0010741316965060532,0.0017147272433007399,0.3438349725622022,0.4595067688195002,0.5472154577470616,0.1407134517972411,0.01063677142333623,0.467728420034743,-0.467728420034743,0.03789082667684486,0.03789082667684486
1,shape_only,LAB_phase3,1.1291290489840928,0.9350376528247889,0.20917727712728773,0.09595095038683721,0.8813064447185283,0.36406801794772026,0.5991276777827437,0.17975663899333072,0.018892552152487502,0.8005509115666478,0.8005509115666478,0.44811369642631604,-0.44811369642631604
1,material_only,SP2leg,0.8957591280039787,0.988542892133347,0.03180228458465473,0.051814883178783355,0.8419988248007049,0.16913508688737036,0.24517234401054955,0.053914893843015135,0.027441186405569806,0.2790221158877588,0.2790221158877588,0.9461182187529384,-0.9461182187529384
1,material_only,SP1leg,1.9140588691481764,1.5904445234604039,1.1314188777370278,1.4901439650529675,0.9130329191432792,1.415674487566596,0.754047690277198,0.14683664271290664,-0.14683664271290664,0.43141829161806927,0.2622941419034533,1.3780080036475464,-0.9503584669484486
1,material_only,LAB_phase1,0.18096278479670347,0.12402833166071925,0.04053215398655036,0.048201947203064976,0.039728088638121314,0.054061537861569524,0.16621924128597698,0.060296129839174976,0.007529758226802026,0.06054775724261124,0.06054775724261124,0.08538939003602128,-0.08538939003602128
1,material_only,LAB_phase2,0.6393250954078834,0.2138508138804189,0.0315565902154189,0.008321948567511006,0.20496046420322067,0.37995715076732184,0.4691719704961505,0.11434279445919314,-0.003180530164153386,0.1754722756713268,-0.1754722756713268,0.029486477559958084,0.029486477559958084
1,material_only,LAB_phase3,0.7667589933182621,0.5433974720939425,0.16195470747879526,0.09120488847389974,0.575895370146852,0.23392638298931312,0.4477368411093118,0.08537324110184365,0.011993613055515606,0.33718817948425683,0.33718817948425683,0.4169778889144065,-0.4169778889144065
2,full,SP2leg,0.7592367093260077,0.7619826679334334,0.026374897650358498,0.1309199752258534,0.7046757819383608,0.12129512496510075,0.23340687794021422,0.0639513321281196,-0.021821258359360805,0.12975313664105964,0.12975313664105964,0.747062080394127,-0.747062080394127
2,full,SP1leg,1.2616325193559579,1.0444112859691252,0.9422272318866196,1.1098590491271991,0.6706449899999944,0.8042049689386724,0.5903096610902546,0.13719262724319958,-0.13719262724319958,0.31499176556321606,0.11712696809623492,0.8819617129201806,-0.6993700202106327
2,full,LAB_phase1,0.1943953253585632,0.11846479976240398,0.029620510843066272,0.021035691640853504,0.023241858188415725,0.039862583949738926,0.18548750313958928,0.056079577557301336,0.0034538052532300523,0.05531362033329208,0.05531362033329208,0.08648228299294741,-0.08648228299294741
2,full,LAB_phase2,0.6039749452328528,0.23437967905551327,0.012373324901850946,0.05585291181504179,0.16574776786651996,0.379900742339202,0.43095736291276776,0.11795773433968797,0.0075096633129242,0.1735719563212279,-0.1735719563212279,0.0716795800702845,0.0716795800702845
2,full,LAB_phase3,0.6343466103193809,0.4140506755582116,0.06545062266305957,0.006784237393209047,0.44215431465014954,0.23682351564340778,0.38704857359918987,0.08494052983514438,-0.014717710093226671,0.24480470835222828,0.24480470835222828,0.3218999132167186,-0.3218999132167186
2,shape_only,SP2leg,0.7628652248775049,0.7587933561553428,0.02490538447295898,0.13245081463292352,0.7095313296269681,0.12024263126246221,0.2307525983012837,0.06410547389981497,-0.022022157145718528,0.12987125692741674,0.12987125692741674,0.7437218356382336,-0.7437218356382336
2,shape_only,SP1leg,1.2654120674334783,1.04204691740487,0.9452865575934335,1.1017489267450882,0.6764895836011537,0.8072703446266647,0.5874853826475096,0.13753907406342014,-0.13753907406342014,0.3165033465553059,0.11766629161468947,0.8782833440621559,-0.696418485215602
2,shape_only,LAB_phase1,0.19590869539689826,0.1180112219757004,0.031133716461195143,0.01991299993134779,0.022458067071088578,0.04056579173375988,0.18663621713249634,0.056378181436887415,0.0033304055345486534,0.05347475029207083,0.05347475029207083,0.08673927144061867,-0.08673927144061867
