load_case,outcome,model,beta,ci95_low,ci95_high,p_value,max_vif
LAB_phase1,rot_mag_deg,M0,0.07372786727746036,0.06382288282463594,0.08363285173028479,3.2992784948834984e-48,1.0009035829322503
LAB_phase1,rot_mag_deg,M1,0.035350476117170446,0.0250311051046338,0.04566984712970709,1.8918384993682504e-11,1.7686044318520582
LAB_phase1,rot_mag_deg,M2,-0.009272198490428527,-0.026199546577076627,0.007655149596219574,0.28300268121663463,5.554442091480361
LAB_phase1,trans_mag_mm,M0,0.0548457727008324,0.04564699601308636,0.06404454938857844,1.5052435093404845e-31,1.0009035829322503
LAB_phase1,trans_mag_mm,M1,0.040408122956484036,0.028414281448804014,0.05240196446416406,4.0221054371667034e-11,1.7686044318520582
LAB_phase1,trans_mag_mm,M2,0.012969183042024476,-0.0053904436728311154,0.03132880975688007,0.16620160013366025,5.554442091480361
LAB_phase2,rot_mag_deg,M0,0.09365564460324016,0.06914340250036692,0.1181678867061134,6.962697738514561e-14,1.0009035829322503
LAB_phase2,rot_mag_deg,M1,0.003985482258218376,-0.020971371835252946,0.028942336351689697,0.754283512887916,1.7686044318520582
LAB_phase2,rot_mag_deg,M2,-0.016623340008102644,-0.07014602460106142,0.03689934458485614,0.5426999018227514,5.554442091480361
LAB_phase2,trans_mag_mm,M0,0.07141966032791504,0.05240449089230887,0.09043482976352121,1.818699045973768e-13,1.0009035829322503
LAB_phase2,trans_mag_mm,M1,0.04091490042512108,0.017061478701229735,0.06476832214901243,0.0007742092941014667,1.7686044318520582
LAB_phase2,trans_mag_mm,M2,-0.031245677057108737,-0.0782279206141969,0.015736566499979423,0.1924110353820071,5.554442091480361
LAB_phase3,rot_mag_deg,M0,0.35471446182580824,0.31488887473800264,0.39454004891361383,3.0555594178489044e-68,1.0009035829322503
LAB_phase3,rot_mag_deg,M1,0.2356557973719858,0.18876663624281673,0.2825449585011549,6.827341822069433e-23,1.7686044318520582
LAB_phase3,rot_mag_deg,M2,-0.021440909730418234,-0.1045455744814589,0.061663755020622435,0.613089387631448,5.554442091480361
LAB_phase3,trans_mag_mm,M0,0.2584905536158266,0.23012256900710748,0.28685853822454577,2.4471528906167916e-71,1.0009035829322503
LAB_phase3,trans_mag_mm,M1,0.21196394266580046,0.17487604635684223,0.2490518389747587,4.006894577862664e-29,1.7686044318520582
LAB_phase3,trans_mag_mm,M2,0.001966931841666658,-0.05997169652684967,0.06390556021018298,0.9503709973236891,5.554442091480361
