load_case,outcome,beta_female_minus_male,ci95_low,ci95_high,p_value,beta_std,p_fdr_bh
LAB_phase1,rot_mag_deg,-0.009272198490428527,-0.026199546577076627,0.007655149596219574,0.28300268121663463,-0.014219712003939261,0.5660053624332693
LAB_phase1,trans_mag_mm,0.012969183042024476,-0.0053904436728311154,0.03132880975688007,0.16620160013366025,0.021745127564607225,0.5660053624332693
LAB_phase2,rot_mag_deg,-0.016623340008102644,-0.07014602460106142,0.03689934458485614,0.5426999018227514,-0.02549331830016248,0.7357072651577377
LAB_phase2,trans_mag_mm,-0.031245677057108737,-0.0782279206141969,0.015736566499979423,0.1924110353820071,-0.052388899998383254,0.5660053624332693
LAB_phase3,rot_mag_deg,-0.021440909730418234,-0.1045455744814589,0.061663755020622435,0.613089387631448,-0.03288147485019108,0.7357072651577377
LAB_phase3,trans_mag_mm,0.001966931841666658,-0.05997169652684967,0.06390556021018298,0.9503709973236891,0.0032979088713095336,0.9503709973236891
