metric,median_delta,ci95_low,ci95_high,p_value,q
rot_mag_deg,1.0479750518275373,1.0038758333069906,1.1017592355082737,4.118046071574423e-84,4.118046071574423e-84
trans_mag_mm,0.5817068858237158,0.5594303148896695,0.6025942412129944,4.118046071574423e-84,4.118046071574423e-84
lr_trans_asym_mm,1.5092813211858864,1.4454338655377337,1.5676906462340068,4.118046071574423e-84,4.118046071574423e-84
