load_case,metric,var_full,identity_r2,rmse,mae,var_shape_only,var_material_only,shape_over_full_pct,shape_over_full_ci95_low,shape_over_full_ci95_high,material_over_full_pct,material_over_full_ci95_low,material_over_full_ci95_high
SP2leg,rot_mag_deg,0.04918729470104686,0.9793846678294569,0.031786237464444055,0.021586301170600047,0.05110288914004992,0.00040505248356011587,103.89449033667285,100.48374231063947,107.28608620587173,0.8234900618583829,0.5891189632077237,1.145033761237648
SP2leg,trans_mag_mm,0.051870688905415144,0.9848660603545986,0.027967554521703887,0.01975871888431569,0.05206183155389931,0.0005102111962514752,100.36849838033328,98.00047163998256,102.93078807958972,0.9836213997115638,0.744583304250077,1.2972362745528796
SP2leg,ap_trans_abs_mm,0.027508433172739172,0.9926285041627817,0.014214389971915318,0.008223818248582164,0.027490699520817598,6.414327251621135e-05,99.93553376228222,98.10501184781285,102.22179680214671,0.23317675751804456,0.16261403237427627,0.3333931086934735
SP2leg,ml_trans_abs_mm,0.010951029145167965,0.995563260569111,0.00695787970069545,0.0041158607281625795,0.011461030982884498,4.666647443254251e-05,104.65711332657321,101.48969419463087,107.0643872612235,0.42613779777157873,0.21650552071429033,1.0963628484712613
SP2leg,cc_trans_abs_mm,0.046587602763442655,0.9860880994454538,0.025412412759733792,0.018699229569220124,0.046515689847551965,0.0004979382888477053,99.84563937265492,97.58031659760084,102.20624910407373,1.0688214445720268,0.7933255626007553,1.4636874519769196
SP1leg,rot_mag_deg,0.19135888001704093,0.9973931182943198,0.02229474241175758,0.014950228716108682,0.19473915570699457,0.0002123252358788906,101.76645875522088,100.43835218924947,103.13043979561508,0.11095656279968955,0.07354109650610288,0.16917973029583094
SP1leg,trans_mag_mm,0.13509476844951315,0.9974661237874237,0.018468407537725752,0.012822825261613956,0.13548701285152742,0.00020582187978134244,100.29034758822719,99.1570719316587,101.5398641095458,0.15235370114147762,0.11017843439654938,0.209362666564187
SP1leg,ap_trans_abs_mm,0.01491484079785156,0.9876851911310863,0.013528219321217248,0.00840117601682477,0.014979548008401464,0.00015609009245364858,100.43384446020521,97.90334153272153,103.30705642806738,1.0465421292068564,0.8084631542831344,1.36092080214812
SP1leg,ml_trans_abs_mm,0.023065160974765186,0.9984145199554318,0.006036373747289734,0.003881936248694229,0.02332561457982909,3.1823344010061094e-06,101.12920783578687,99.59656331319204,102.64245714713486,0.013797148021155342,0.007866844938031827,0.023811943834253252
SP1leg,cc_trans_abs_mm,0.1352862594281665,0.9972227323859415,0.019348762596980616,0.014062231446711683,0.13587418711930124,0.00032968643097723316,100.43458049148512,99.20281156609528,101.77422935425616,0.24369542950685846,0.18076634881408332,0.33255018811278664
